Time,CCL Reduced Due To J1772,Pack Charge Current Limit (CCL),Pack Charge Current Limit (CCL) kW,Pack Amperage (Current),Pack kW,Pack Voltage,J1772 AC Amp Limit,J1772 AC Power Limit,J1772 AC Voltage (0v = N/A)
Thu Nov 5 15:09:33 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:33 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:33 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:33 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:33 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:33 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:33 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:34 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,0.000000,136.000000,43.500000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,0.000000,144.000000,46.300000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,0.000000,144.000000,46.300000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,0.000000,148.000000,46.300000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,0.000000,148.000000,47.700000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,0.000000,148.000000,47.700000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,1.000000,56.000000,47.700000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,1.000000,56.000000,17.100000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:35 GMT 2020,1.000000,56.000000,17.100000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,56.000000,17.100000,6.200000,-1.200000,296.600000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,56.000000,17.100000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:36 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:37 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:38 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:39 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:39 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:39 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:39 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:39 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
Thu Nov 5 15:09:39 GMT 2020,1.000000,10.000000,2.900000,6.200000,-1.200000,296.600000,15.000000,3450.000000,0.000000
