Time,Discharge-Enable Output Active,Pack Discharge Current Limit (DCL),Pack Amperage (Current),Pack Voltage,J1772 AC Amp Limit,J1772 AC Power Limit,J1772 AC Voltage (0v = N/A)
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:58 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,1.400000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:08:59 GMT 2020,0.000000,242.000000,4.800000,301.900000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,242.000000,4.800000,301.700000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,243.000000,12.300000,301.700000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,243.000000,12.300000,300.800000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,243.000000,12.600000,300.700000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,243.000000,12.600000,300.700000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,242.000000,18.100000,299.700000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,242.000000,18.100000,299.700000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,242.000000,24.200000,299.700000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,242.000000,22.300000,299.700000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:00 GMT 2020,0.000000,242.000000,22.300000,299.500000,80.000000,18400.000000,0.000000
Fri Nov 6 11:09:01 GMT 2020,0.000000,242.000000,22.100000,299.300000,80.000000,18400.000000,0.000000
