Time,Pack Amperage (Current),J1772 AC Amp Limit
Tue Nov 3 16:21:22 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:22 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:22 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:22 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:23 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:24 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:25 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:26 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:27 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:28 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:29 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:29 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:29 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:29 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:29 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:29 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:29 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:29 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:29 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:30 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:31 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:32 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:33 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:34 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:35 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:36 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:37 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:37 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:37 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:37 GMT 2020,1.000000,80.000000
Tue Nov 3 16:21:37 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:37 GMT 2020,3.200000,80.000000
Tue Nov 3 16:21:37 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:37 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:37 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:37 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.100000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.300000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.300000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.300000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.300000,80.000000
Tue Nov 3 16:21:38 GMT 2020,3.300000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:39 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:40 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:40 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:40 GMT 2020,3.400000,80.000000
Tue Nov 3 16:21:40 GMT 2020,3.400000,80.000000
