Time,Discharge-Enable Output Active,Pack Discharge Current Limit (DCL),Pack Amperage (Current),Pack Voltage
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,0.900000,300.500000
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:44 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:45 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:46 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.000000,300.500000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.200000,300.500000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.300000,300.500000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.400000,300.400000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:47 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:48 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:48 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:48 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:48 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:48 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:48 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:48 GMT 2020,0.000000,248.000000,21.500000,298.200000
Fri Nov 6 11:30:48 GMT 2020,0.000000,248.000000,22.200000,298.000000
Fri Nov 6 11:30:48 GMT 2020,0.000000,247.000000,22.700000,298.000000
Fri Nov 6 11:30:48 GMT 2020,0.000000,247.000000,21.200000,298.100000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,21.200000,298.200000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,21.200000,298.200000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,21.200000,298.200000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,21.200000,298.200000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,21.200000,298.200000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,21.200000,298.200000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,21.200000,298.200000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,21.200000,298.200000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,21.200000,298.200000
Fri Nov 6 11:30:49 GMT 2020,0.000000,247.000000,1.700000,300.300000
Fri Nov 6 11:30:50 GMT 2020,0.000000,247.000000,1.700000,300.300000
Fri Nov 6 11:30:50 GMT 2020,0.000000,247.000000,1.600000,300.400000
Fri Nov 6 11:30:50 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:50 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:50 GMT 2020,0.000000,248.000000,1.700000,300.400000
Fri Nov 6 11:30:50 GMT 2020,0.000000,248.000000,2.400000,300.400000
Fri Nov 6 11:30:50 GMT 2020,0.000000,248.000000,1.800000,300.400000
Fri Nov 6 11:30:50 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:50 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:50 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,1.600000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,2.400000,300.400000
Fri Nov 6 11:30:51 GMT 2020,0.000000,248.000000,2.300000,300.300000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,2.300000,300.300000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,2.400000,300.300000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,2.300000,300.300000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,2.300000,300.300000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,2.200000,300.300000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,2.200000,300.400000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:52 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:53 GMT 2020,0.000000,248.000000,1.300000,300.400000
Fri Nov 6 11:30:53 GMT 2020,0.000000,248.000000,1.400000,300.400000
Fri Nov 6 11:30:53 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:53 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:53 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:53 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:53 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:53 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:53 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:54 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:55 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
Fri Nov 6 11:30:56 GMT 2020,0.000000,248.000000,1.500000,300.400000
